Function: sub_40D3E0, Start Address: .text:0040D3E0, End Address: .text:0040D3EE
Function: sub_40D3F0, Start Address: .text:0040D3F0, End Address: .text:0040D3F8
Function: sub_40D400, Start Address: .text:0040D400, End Address: .text:0040D40E
Function: sub_40D410, Start Address: .text:0040D410, End Address: .text:0040D41E
Function: sub_40D420, Start Address: .text:0040D420, End Address: .text:0040D428
Function: sub_40D430, Start Address: .text:0040D430, End Address: .text:0040D438
Function: sub_40D440, Start Address: .text:0040D440, End Address: .text:0040D448
Function: sub_40D450, Start Address: .text:0040D450, End Address: .text:0040D458
Function: sub_40D460, Start Address: .text:0040D460, End Address: .text:0040D468
Function: sub_40D470, Start Address: .text:0040D470, End Address: .text:0040D478
Function: sub_40D480, Start Address: .text:0040D480, End Address: .text:0040D488
Function: sub_40D490, Start Address: .text:0040D490, End Address: .text:0040D6A9
Function: sub_40D6B0, Start Address: .text:0040D6B0, End Address: .text:0040D839
Function: sub_40D840, Start Address: .text:0040D840, End Address: .text:0040D9DD
Function: GameCreature::ReadVersion2, Start Address: .text:0040D9E0, End Address: .text:0040DB9C
Function: GameWeapon::ReadAttackModeData, Start Address: .text:0040DBA0, End Address: .text:0040E0F4
Function: sub_40E180, Start Address: .text:0040E180, End Address: .text:0040E312
Function: sub_40E340, Start Address: .text:0040E340, End Address: .text:0040E348
Function: sub_40E350, Start Address: .text:0040E350, End Address: .text:0040E358
Function: GameCreature::ReadData, Start Address: .text:0040E360, End Address: .text:0040E4EE
Function: sub_40E590, Start Address: .text:0040E590, End Address: .text:0040E598
Function: sub_40E5A0, Start Address: .text:0040E5A0, End Address: .text:0040E5D2
Function: sub_40E5E0, Start Address: .text:0040E5E0, End Address: .text:0040E655
Function: sub_40E660, Start Address: .text:0040E660, End Address: .text:0040E6D4
